leaid,locale,locale2
0400209,41,Rural
0400210,13,City
0400211,41,Rural
0400212,32,Town
0400213,42,Rural
0400214,42,Rural
0400217,12,City
0400218,11,City
0400219,11,City
0400221,11,City
0400223,21,Suburban
0400225,11,City
0400227,11,City
0400229,11,City
0400230,11,City
0400231,12,City
0400232,11,City
0400235,21,Suburban
0400237,21,Suburban
0400238,11,City
0400239,11,City
0400241,21,Suburban
0400243,11,City
0400244,11,City
0400246,41,Rural
0400248,13,City
0400254,11,City
0400255,11,City
0400258,21,Suburban
0400259,11,City
0400261,11,City
0400263,42,Rural
0400264,42,Rural
0400266,23,Suburban
0400267,12,City
0400268,13,City
0400273,12,City
0400274,11,City
0400275,11,City
0400276,11,City
0400278,21,Suburban
0400279,21,Suburban
0400280,33,Town
0400281,32,Town
0400282,13,City
0400284,33,Town
0400285,11,City
0400288,11,City
0400290,11,City
0400295,33,Town
0400296,11,City
0400298,11,City
0400299,41,Rural
0400303,11,City
0400310,21,Suburban
0400311,11,City
0400315,41,Rural
0400316,32,Town
0400317,21,Suburban
0400318,11,City
0400320,23,Suburban
0400321,11,City
0400322,11,City
0400323,41,Rural
0400326,21,Suburban
0400327,11,City
0400328,32,Town
0400329,21,Suburban
0400330,11,City
0400332,11,City
0400339,33,Town
0400340,11,City
0400341,32,Town
0400343,11,City
0400344,12,City
0400345,32,Town
0400347,13,City
0400348,41,Rural
0400349,33,Town
0400350,13,City
0400351,11,City
0400352,22,Suburban
0400353,21,Suburban
0400354,11,City
0400355,11,City
0400356,11,City
0400357,21,Suburban
0400359,21,Suburban
0400361,11,City
0400363,21,Suburban
0400364,11,City
0400366,11,City
0400367,11,City
0400368,11,City
0400370,11,City
0400373,11,City
0400374,11,City
0400376,11,City
0400377,21,Suburban
0400381,13,City
0400382,11,City
0400383,11,City
0400384,21,Suburban
0400385,11,City
0400386,11,City
0400387,11,City
0400388,31,Town
0400389,11,City
0400390,21,Suburban
0400391,11,City
0400393,21,Suburban
0400394,11,City
0400395,21,Suburban
0400396,11,City
0400397,11,City
0400399,21,Suburban
0400401,11,City
0400402,21,Suburban
0400403,42,Rural
0400404,42,Rural
0400405,11,City
0400406,21,Suburban
0400407,11,City
0400409,11,City
0400413,33,Town
0400414,33,Town
0400415,41,Rural
0400416,11,City
0400417,11,City
0400419,33,Town
0400420,11,City
0400423,11,City
0400424,21,Suburban
0400425,11,City
0400426,11,City
0400427,41,Rural
0400429,21,Suburban
0400432,11,City
0400434,33,Town
0400438,11,City
0400439,42,Rural
0400440,21,Suburban
0400441,21,Suburban
0400442,11,City
0400444,41,Rural
0400445,11,City
0400446,12,City
0400447,11,City
0400448,11,City
0400450,22,Suburban
0400453,41,Rural
0400455,11,City
0400456,33,Town
0400457,41,Rural
0400458,13,City
0400459,11,City
0400460,13,City
0400461,41,Rural
0400462,33,Town
0400463,11,City
0400480,43,Rural
0400520,33,Town
0400600,11,City
0400607,43,Rural
0400608,12,City
0400609,22,Suburban
0400610,11,City
0400612,33,Town
0400613,11,City
0400614,11,City
0400615,11,City
0400616,12,City
0400618,11,City
0400619,11,City
0400621,12,City
0400625,33,Town
0400626,23,Suburban
0400630,43,Rural
0400632,13,City
0400633,11,City
0400636,21,Suburban
0400637,11,City
0400638,11,City
0400640,11,City
0400641,11,City
0400649,41,Rural
0400650,12,City
0400653,11,City
0400655,11,City
0400656,11,City
0400680,21,Suburban
0400720,42,Rural
0400745,41,Rural
0400746,21,Suburban
0400747,12,City
0400748,11,City
0400750,43,Rural
0400751,11,City
0400752,11,City
0400754,11,City
0400755,11,City
0400756,11,City
0400757,21,Suburban
0400758,21,Suburban
0400760,21,Suburban
0400761,12,City
0400762,33,Town
0400763,11,City
0400764,11,City
0400765,33,Town
0400766,41,Rural
0400767,33,Town
0400768,11,City
0400769,41,Rural
0400770,21,Suburban
0400771,11,City
0400772,41,Rural
0400773,13,City
0400774,11,City
0400775,21,Suburban
0400776,11,City
0400777,33,Town
0400778,21,Suburban
0400779,41,Rural
0400780,22,Suburban
0400781,11,City
0400782,13,City
0400783,21,Suburban
0400784,41,Rural
0400785,21,Suburban
0400786,11,City
0400787,11,City
0400788,11,City
0400789,11,City
0400790,21,Suburban
0400791,11,City
0400792,21,Suburban
0400793,11,City
0400794,32,Town
0400796,11,City
0400797,21,Suburban
0400798,11,City
0400799,21,Suburban
0400800,41,Rural
0400801,42,Rural
0400802,22,Suburban
0400803,21,Suburban
0400805,11,City
0400807,11,City
0400810,21,Suburban
0400811,11,City
0400813,32,Town
0400814,21,Suburban
0400815,42,Rural
0400816,12,City
0400817,11,City
0400818,21,Suburban
0400819,21,Suburban
0400820,13,City
0400821,11,City
0400822,21,Suburban
0400823,23,Suburban
0400824,32,Town
0400826,41,Rural
0400827,11,City
0400828,22,Suburban
0400829,21,Suburban
0400830,21,Suburban
0400831,13,City
0400832,22,Suburban
0400833,11,City
0400834,21,Suburban
0400835,13,City
0400836,11,City
0400837,33,Town
0400838,23,Suburban
0400839,11,City
0400840,42,Rural
0400841,12,City
0400842,21,Suburban
0400843,11,City
0400844,13,City
0400845,21,Suburban
0400846,11,City
0400847,22,Suburban
0400848,11,City
0400849,11,City
0400850,11,City
0400851,22,Suburban
0400852,13,City
0400853,11,City
0400854,32,Town
0400855,21,Suburban
0400857,11,City
0400858,11,City
0400859,11,City
0400860,33,Town
0400861,11,City
0400862,11,City
0400863,11,City
0400864,21,Suburban
0400866,21,Suburban
0400867,21,Suburban
0400868,31,Town
0400870,43,Rural
0400871,11,City
0400872,11,City
0400873,11,City
0400874,11,City
0400875,11,City
0400876,11,City
0400877,11,City
0400878,11,City
0400879,11,City
0400880,11,City
0400881,11,City
0400882,11,City
0400883,32,Town
0400884,11,City
0400885,22,Suburban
0400886,41,Rural
0400887,11,City
0400888,21,Suburban
0400889,11,City
0400890,11,City
0400891,11,City
0400892,23,Suburban
0400893,12,City
0400894,21,Suburban
0400895,11,City
0400897,11,City
0400898,41,Rural
0400899,21,Suburban
0400900,41,Rural
0400902,11,City
0400903,41,Rural
0400904,32,Town
0400905,21,Suburban
0400906,33,Town
0400907,21,Suburban
0400909,11,City
0400910,43,Rural
0400911,41,Rural
0400912,11,City
0400913,11,City
0400914,11,City
0400915,11,City
0400916,11,City
0400917,11,City
0400918,11,City
0400919,41,Rural
0400920,13,City
0400921,11,City
0400922,33,Town
0400923,11,City
0400924,11,City
0400925,41,Rural
0400926,11,City
0400927,21,Suburban
0400929,21,Suburban
0400930,22,Suburban
0400931,12,City
0400932,11,City
0400933,41,Rural
0400934,11,City
0400935,11,City
0400936,21,Suburban
0400937,12,City
0400938,11,City
0400939,11,City
0400940,11,City
0400941,22,Suburban
0400942,21,Suburban
0400943,22,Suburban
0400944,21,Suburban
0400945,22,Suburban
0400946,11,City
0400947,41,Rural
0400948,21,Suburban
0400949,41,Rural
0400950,11,City
0400951,21,Suburban
0400952,33,Town
0400953,23,Suburban
0400954,21,Suburban
0400955,11,City
0400956,11,City
0400958,21,Suburban
0400959,11,City
0400960,22,Suburban
0400961,11,City
0400962,11,City
0400963,21,Suburban
0400964,11,City
0400965,12,City
0400966,21,Suburban
0400967,11,City
0400968,11,City
0400969,11,City
0400970,21,Suburban
0400971,12,City
0400972,41,Rural
0400973,32,Town
0400974,31,Town
0400975,11,City
0400976,11,City
0400977,12,City
0400978,21,Suburban
0400979,12,City
0400980,12,City
0400981,11,City
0400982,41,Rural
0400983,13,City
0400984,32,Town
0400985,31,Town
0401000,43,Rural
0401050,11,City
0401080,41,Rural
0401160,43,Rural
0401180,32,Town
0401230,43,Rural
0401260,43,Rural
0401290,43,Rural
0401330,43,Rural
0401380,31,Town
0401410,31,Town
0401460,13,City
0401500,41,Rural
0401600,41,Rural
0401650,42,Rural
0401680,11,City
0401710,23,Suburban
0401740,23,Suburban
0401760,21,Suburban
0401810,43,Rural
0401830,42,Rural
0401870,21,Suburban
0401920,43,Rural
0401940,33,Town
0402130,42,Rural
0402190,43,Rural
0402220,43,Rural
0402250,41,Rural
0402320,31,Town
0402370,32,Town
0402400,13,City
0402430,11,City
0402460,42,Rural
0402480,33,Town
0402490,43,Rural
0402530,33,Town
0402600,43,Rural
0402690,21,Suburban
0402740,42,Rural
0402760,43,Rural
0402790,41,Rural
0402820,42,Rural
0402860,13,City
0402920,41,Rural
0403010,21,Suburban
0403040,21,Suburban
0403060,11,City
0403080,42,Rural
0403150,13,City
0403200,43,Rural
0403240,32,Town
0403290,43,Rural
0403310,43,Rural
0403400,21,Suburban
0403420,21,Suburban
0403450,11,City
0403500,33,Town
0403550,43,Rural
0403580,33,Town
0403660,43,Rural
0403730,43,Rural
0403780,21,Suburban
0403820,33,Town
0403860,11,City
0403870,23,Suburban
0403900,43,Rural
0403950,43,Rural
0403960,11,City
0403990,21,Suburban
0404010,42,Rural
0404060,33,Town
0404170,42,Rural
0404200,33,Town
0404230,11,City
0404280,13,City
0404290,11,City
0404320,41,Rural
0404380,22,Suburban
0404410,42,Rural
0404440,22,Suburban
0404500,11,City
0404530,42,Rural
0404570,41,Rural
0404630,21,Suburban
0404720,32,Town
0404770,42,Rural
0404820,42,Rural
0404860,42,Rural
0404920,43,Rural
0404970,11,City
0405030,41,Rural
0405070,32,Town
0405100,42,Rural
0405190,33,Town
0405220,42,Rural
0405320,33,Town
0405340,42,Rural
0405360,11,City
0405400,11,City
0405430,42,Rural
0405460,41,Rural
0405500,41,Rural
0405530,33,Town
0405640,42,Rural
