leaid,locale,locale2
0905310,21,Suburban
0905370,41,Rural
0905371,13,City
0905372,41,Rural
0905373,41,Rural
1000004,13,City
1000005,22,Suburban
1000006,13,City
1000007,13,City
1000010,13,City
1000011,31,Town
1000014,13,City
1000015,21,Suburban
1000016,21,Suburban
1000017,13,City
1000018,41,Rural
1000019,41,Rural
1000020,13,City
1000021,13,City
1000022,21,Suburban
1000024,21,Suburban
1000026,21,Suburban
1000049,21,Suburban
1000050,21,Suburban
1000052,21,Suburban
1000053,21,Suburban
1000054,13,City
1000055,13,City
1000056,21,Suburban
1000057,41,Rural
1000059,13,City
1000062,13,City
1000063,21,Suburban
1000080,31,Town
1000170,32,Town
1000180,22,Suburban
1000190,13,City
1000200,21,Suburban
1000230,21,Suburban
1000270,23,Suburban
1000680,32,Town
1000750,41,Rural
1000790,41,Rural
1000810,23,Suburban
1001080,31,Town
1001240,21,Suburban
1001280,21,Suburban
1001300,21,Suburban
1001530,23,Suburban
1001620,41,Rural
1001680,42,Rural
1001850,31,Town
1100004,11,City
1100005,11,City
1100008,11,City
1100009,11,City
1100011,11,City
1100012,11,City
1100013,11,City
1100014,11,City
1100015,11,City
1100016,11,City
1100017,11,City
1100019,11,City
1100020,11,City
1100022,11,City
1100026,11,City
1100029,11,City
1100030,11,City
1100031,11,City
1100032,11,City
1100034,11,City
1100035,11,City
1100039,11,City
1100042,11,City
1100043,11,City
1100044,11,City
1100045,11,City
1100048,11,City
1100049,11,City
1100051,11,City
1100053,11,City
1100054,11,City
1100055,11,City
1100057,11,City
1100058,11,City
1100059,11,City
1100064,11,City
1100072,11,City
1100073,11,City
1100076,11,City
1100077,11,City
1100079,11,City
1100080,11,City
1100081,11,City
1100082,11,City
1100083,11,City
1100084,11,City
1100085,11,City
1100086,11,City
1100087,41,Rural
1100088,11,City
1100089,11,City
1100090,11,City
1100091,11,City
1100092,11,City
1100093,11,City
1100094,11,City
1100095,11,City
1100096,11,City
1100097,11,City
1100099,11,City
1100100,11,City
1100101,11,City
1100102,11,City
1100103,11,City
1100104,11,City
1100105,11,City
1100106,11,City
1100107,11,City
1100108,11,City
1100109,11,City
1100110,11,City
1200002,11,City
1200005,12,City
1200030,12,City
1200060,32,Town
1200080,22,Suburban
1200081,21,Suburban
1200082,11,City
1200090,22,Suburban
1200120,32,Town
1200150,21,Suburban
1200180,21,Suburban
1200210,41,Rural
1200240,22,Suburban
1200270,41,Rural
1200300,21,Suburban
1200330,21,Suburban
1200360,32,Town
1200390,21,Suburban
1200420,32,Town
1200450,33,Town
1200480,11,City
1200510,21,Suburban
1200540,21,Suburban
1200570,41,Rural
1200600,41,Rural
1200630,41,Rural
1200660,32,Town
1200690,41,Rural
1200720,41,Rural
1200750,32,Town
1200780,33,Town
1200810,22,Suburban
1200840,23,Suburban
1200870,21,Suburban
1200900,32,Town
1200930,22,Suburban
1200960,42,Rural
1200990,42,Rural
1201020,43,Rural
1201050,22,Suburban
1201080,21,Suburban
1201110,12,City
1201140,42,Rural
1201170,42,Rural
1201200,41,Rural
1201230,21,Suburban
1201260,41,Rural
1201290,21,Suburban
1201320,33,Town
1201350,31,Town
1201380,22,Suburban
1201410,32,Town
1201440,21,Suburban
1201470,21,Suburban
1201500,21,Suburban
1201530,21,Suburban
1201560,21,Suburban
1201590,22,Suburban
1201620,32,Town
1201650,21,Suburban
1201680,13,City
1201710,21,Suburban
1201740,41,Rural
1201770,12,City
1201800,13,City
1201830,33,Town
1201860,33,Town
1201890,32,Town
1201920,13,City
1201950,42,Rural
1201980,42,Rural
1202010,41,Rural
1202011,32,Town
1202012,12,City
1202013,41,Rural
1202014,12,City
1202015,12,City
1202016,23,Suburban
1300001,42,Rural
1300005,32,Town
1300006,41,Rural
1300007,41,Rural
1300008,42,Rural
1300009,21,Suburban
1300010,22,Suburban
1300011,31,Town
1300012,21,Suburban
1300013,13,City
1300014,33,Town
1300015,41,Rural
1300016,42,Rural
1300017,41,Rural
1300018,42,Rural
1300019,41,Rural
1300020,13,City
1300021,33,Town
1300023,21,Suburban
1300025,32,Town
1300026,12,City
1300027,11,City
1300028,11,City
1300060,33,Town
1300090,43,Rural
1300120,11,City
1300150,41,Rural
1300180,42,Rural
1300210,32,Town
1300214,41,Rural
1300215,21,Suburban
1300217,21,Suburban
1300218,43,Rural
1300221,11,City
1300222,41,Rural
1300223,42,Rural
1300224,12,City
1300225,21,Suburban
1300226,21,Suburban
1300227,21,Suburban
1300230,21,Suburban
1300231,11,City
1300232,21,Suburban
1300233,21,Suburban
1300234,13,City
1300235,42,Rural
1300236,41,Rural
1300237,21,Suburban
1300238,41,Rural
1300239,12,City
1300240,42,Rural
1300241,41,Rural
1300242,21,Suburban
1300243,42,Rural
1300244,11,City
1300245,21,Suburban
1300246,33,Town
1300247,21,Suburban
1300248,11,City
1300249,21,Suburban
1300250,21,Suburban
1300251,11,City
1300290,41,Rural
1300330,41,Rural
1300360,41,Rural
1300390,41,Rural
1300420,12,City
1300440,41,Rural
1300480,42,Rural
1300510,31,Town
1300540,41,Rural
1300570,41,Rural
1300600,21,Suburban
1300630,42,Rural
1300660,32,Town
1300690,41,Rural
1300720,32,Town
1300750,43,Rural
1300780,32,Town
1300810,33,Town
1300840,41,Rural
1300870,31,Town
1300900,23,Suburban
1300930,21,Suburban
1300990,41,Rural
1301020,12,City
1301050,42,Rural
1301080,41,Rural
1301110,21,Suburban
1301140,21,Suburban
1301170,12,City
1301200,43,Rural
1301230,21,Suburban
1301260,41,Rural
1301290,21,Suburban
1301350,41,Rural
1301380,41,Rural
1301410,21,Suburban
1301440,32,Town
1301470,41,Rural
1301500,21,Suburban
1301530,42,Rural
1301560,41,Rural
1301590,31,Town
1301620,13,City
1301650,41,Rural
1301680,21,Suburban
1301710,32,Town
1301740,21,Suburban
1301770,32,Town
1301800,42,Rural
1301830,13,City
1301860,21,Suburban
1301870,33,Town
1301890,41,Rural
1301920,32,Town
1301950,42,Rural
1301980,41,Rural
1302010,41,Rural
1302040,33,Town
1302070,41,Rural
1302100,42,Rural
1302130,21,Suburban
1302190,41,Rural
1302220,21,Suburban
1302250,42,Rural
1302280,21,Suburban
1302310,13,City
1302340,32,Town
1302370,43,Rural
1302400,13,City
1302430,41,Rural
1302460,32,Town
1302490,42,Rural
1302520,21,Suburban
1302550,21,Suburban
1302580,41,Rural
1302610,41,Rural
1302640,41,Rural
1302670,42,Rural
1302700,42,Rural
1302730,32,Town
1302790,42,Rural
1302820,41,Rural
1302880,13,City
1302910,41,Rural
1302940,41,Rural
1302970,41,Rural
1303000,33,Town
1303030,31,Town
1303060,42,Rural
1303090,41,Rural
1303120,41,Rural
1303150,41,Rural
1303210,32,Town
1303240,41,Rural
1303270,41,Rural
1303300,13,City
1303330,42,Rural
1303360,42,Rural
1303390,41,Rural
1303420,41,Rural
1303450,32,Town
1303480,42,Rural
1303510,13,City
1303540,42,Rural
1303570,41,Rural
1303600,31,Town
1303630,42,Rural
1303660,43,Rural
1303690,42,Rural
1303720,41,Rural
1303750,42,Rural
1303780,32,Town
1303840,23,Suburban
1303870,12,City
1303930,21,Suburban
1303960,41,Rural
1303990,42,Rural
1304020,21,Suburban
1304050,41,Rural
1304080,41,Rural
1304110,41,Rural
1304140,41,Rural
1304170,42,Rural
1304200,41,Rural
1304220,32,Town
1304260,41,Rural
1304290,32,Town
1304320,41,Rural
1304350,32,Town
1304380,12,City
1304410,21,Suburban
1304440,13,City
1304470,42,Rural
1304500,33,Town
1304530,41,Rural
1304540,31,Town
1304560,41,Rural
1304590,42,Rural
1304620,41,Rural
1304650,42,Rural
1304680,43,Rural
1304770,41,Rural
1304800,43,Rural
1304830,33,Town
1304860,41,Rural
1304890,32,Town
1304950,32,Town
1304980,32,Town
1305040,41,Rural
1305070,43,Rural
1305100,41,Rural
1305130,32,Town
1305190,32,Town
1305220,42,Rural
1305250,43,Rural
1305280,41,Rural
1305310,13,City
1305340,33,Town
1305370,41,Rural
1305390,41,Rural
1305430,33,Town
1305460,42,Rural
1305490,33,Town
1305550,32,Town
1305580,43,Rural
1305640,42,Rural
1305670,41,Rural
1305700,41,Rural
1305730,43,Rural
1305760,32,Town
1305790,42,Rural
1305850,32,Town
1500030,21,Suburban
1600001,42,Rural
1600002,32,Town
1600003,41,Rural
1600004,21,Suburban
1600005,32,Town
1600006,12,City
1600007,21,Suburban
1600008,31,Town
1600009,42,Rural
1600010,43,Rural
1600011,12,City
1600012,41,Rural
1600014,41,Rural
1600015,41,Rural
1600016,41,Rural
1600017,12,City
1600030,42,Rural
1600060,32,Town
1600090,42,Rural
1600138,43,Rural
1600139,33,Town
1600140,41,Rural
1600141,22,Suburban
1600142,23,Suburban
1600143,33,Town
1600144,12,City
1600145,32,Town
1600148,12,City
1600149,13,City
1600150,43,Rural
1600151,32,Town
1600152,42,Rural
1600153,32,Town
1600154,23,Suburban
1600155,22,Suburban
1600156,12,City
1600157,12,City
1600158,22,Suburban
1600159,33,Town
1600160,41,Rural
1600161,22,Suburban
1600162,41,Rural
1600163,41,Rural
1600165,32,Town
1600166,33,Town
1600167,41,Rural
1600169,32,Town
1600170,42,Rural
1600171,21,Suburban
1600172,43,Rural
1600173,13,City
1600174,41,Rural
1600175,13,City
1600176,13,City
1600177,13,City
1600178,12,City
1600179,21,Suburban
1600180,42,Rural
1600181,21,Suburban
1600182,31,Town
1600183,22,Suburban
1600184,41,Rural
1600185,33,Town
1600186,33,Town
1600187,21,Suburban
1600188,32,Town
1600189,22,Suburban
1600190,22,Suburban
1600240,43,Rural
1600270,32,Town
1600300,33,Town
1600330,43,Rural
1600360,12,City
1600420,33,Town
1600450,42,Rural
1600480,41,Rural
1600490,43,Rural
1600510,22,Suburban
1600540,43,Rural
1600570,43,Rural
1600600,41,Rural
1600630,43,Rural
1600660,33,Town
1600690,42,Rural
1600720,43,Rural
1600750,43,Rural
1600780,13,City
1600810,43,Rural
1600815,42,Rural
1600840,43,Rural
1600870,42,Rural
1600900,43,Rural
1600930,23,Suburban
1600960,32,Town
1601020,32,Town
1601050,33,Town
1601080,42,Rural
1601110,41,Rural
1601140,32,Town
1601170,43,Rural
1601200,42,Rural
1601230,43,Rural
1601260,41,Rural
1601290,42,Rural
1601380,42,Rural
1601410,42,Rural
1601440,42,Rural
1601470,32,Town
1601500,42,Rural
1601530,13,City
1601570,41,Rural
1601590,33,Town
1601620,43,Rural
1601650,41,Rural
1601680,42,Rural
1601710,33,Town
1601740,42,Rural
1601770,31,Town
1601800,42,Rural
1601830,42,Rural
1601860,13,City
1601900,43,Rural
1601920,41,Rural
1601950,42,Rural
1601980,42,Rural
1602030,43,Rural
1602060,43,Rural
1602070,42,Rural
1602100,21,Suburban
1602130,41,Rural
1602160,43,Rural
1602190,33,Town
1602220,32,Town
1602250,32,Town
1602280,42,Rural
1602310,42,Rural
1602340,22,Suburban
1602370,42,Rural
1602400,43,Rural
1602430,43,Rural
1602460,41,Rural
1602490,43,Rural
1602520,32,Town
1602550,42,Rural
1602580,32,Town
1602610,43,Rural
1602640,13,City
1602670,23,Suburban
1602700,43,Rural
1602730,43,Rural
1602760,43,Rural
1602790,42,Rural
1602820,43,Rural
1602850,33,Town
1602910,31,Town
1602940,43,Rural
1602970,41,Rural
1603000,33,Town
1603030,43,Rural
1603060,32,Town
1603090,32,Town
1603120,43,Rural
1603180,43,Rural
1603210,43,Rural
1603240,33,Town
1603270,43,Rural
1603300,33,Town
1603330,33,Town
1603360,41,Rural
1603400,43,Rural
1603420,42,Rural
1603480,42,Rural
1603511,33,Town
1700001,42,Rural
1700002,32,Town
1700003,42,Rural
1700004,43,Rural
1700005,42,Rural
1700006,21,Suburban
1700007,43,Rural
1700009,32,Town
1700010,21,Suburban
1700012,33,Town
1700014,42,Rural
1700015,42,Rural
1700017,33,Town
1700018,21,Suburban
1700023,32,Town
1700024,21,Suburban
1700029,21,Suburban
1700030,21,Suburban
1700031,21,Suburban
1700032,13,City
1700036,13,City
1700037,21,Suburban
1700039,21,Suburban
1700041,32,Town
1700044,42,Rural
1700045,42,Rural
1700048,32,Town
1700051,42,Rural
1700052,32,Town
1700053,41,Rural
1700054,21,Suburban
1700056,23,Suburban
1700057,32,Town
1700059,21,Suburban
1700064,32,Town
1700065,42,Rural
1700067,32,Town
1700068,13,City
1700069,13,City
1700072,21,Suburban
1700074,33,Town
1700077,31,Town
1700080,32,Town
1700081,42,Rural
1700083,21,Suburban
1700084,21,Suburban
1700091,21,Suburban
1700092,41,Rural
1700097,21,Suburban
1700098,32,Town
1700099,22,Suburban
1700100,13,City
1700101,21,Suburban
1700102,42,Rural
1700103,42,Rural
1700105,42,Rural
1700106,42,Rural
1700109,42,Rural
1700110,21,Suburban
1700112,32,Town
1700113,42,Rural
1700114,43,Rural
1700115,42,Rural
1700116,12,City
1700118,13,City
1700119,21,Suburban
1700120,42,Rural
1700122,42,Rural
1700123,42,Rural
1700125,43,Rural
1700126,42,Rural
1700147,21,Suburban
1700152,21,Suburban
1700153,42,Rural
1700155,32,Town
1700162,33,Town
1700164,42,Rural
1700165,33,Town
1700166,41,Rural
1700168,42,Rural
1700169,32,Town
1700170,32,Town
1700171,13,City
1700173,42,Rural
1700174,32,Town
1700175,32,Town
1700176,43,Rural
1700177,13,City
1700178,41,Rural
1700179,21,Suburban
1700180,42,Rural
1700182,41,Rural
1700184,21,Suburban
1700186,33,Town
1700188,21,Suburban
1700189,23,Suburban
1700190,32,Town
1700191,21,Suburban
1700192,32,Town
1700193,21,Suburban
1700194,32,Town
1700195,42,Rural
1700197,13,City
1700198,21,Suburban
1700200,41,Rural
1700201,42,Rural
1700202,42,Rural
1700203,41,Rural
1700204,13,City
1700206,12,City
1700207,31,Town
1700208,21,Suburban
1700209,21,Suburban
1700211,23,Suburban
1700213,21,Suburban
1700217,31,Town
1700218,21,Suburban
1700220,13,City
1700221,21,Suburban
1700222,21,Suburban
1700223,42,Rural
1700225,21,Suburban
1700227,32,Town
1700228,32,Town
1700229,32,Town
1700231,33,Town
1700232,42,Rural
1700233,42,Rural
1700234,33,Town
1700235,12,City
1700236,42,Rural
1700237,42,Rural
1700238,32,Town
1700239,32,Town
1700241,32,Town
1700242,32,Town
1700243,32,Town
1700244,33,Town
1700245,33,Town
1700246,13,City
1700248,21,Suburban
1700249,21,Suburban
1700250,21,Suburban
1700252,21,Suburban
1700255,21,Suburban
1700257,41,Rural
1700258,41,Rural
1700259,41,Rural
1700260,31,Town
1700261,32,Town
1700262,22,Suburban
1700263,13,City
1700264,21,Suburban
1700265,43,Rural
1700266,32,Town
1700269,41,Rural
1700270,32,Town
1700271,33,Town
1700272,42,Rural
1700273,32,Town
1700274,41,Rural
1700275,23,Suburban
1700276,23,Suburban
1700277,32,Town
1700278,41,Rural
1700279,12,City
1700280,21,Suburban
1700281,21,Suburban
1700283,32,Town
1700284,32,Town
1700285,13,City
1700286,32,Town
1700288,21,Suburban
1700289,31,Town
1700291,42,Rural
1700292,32,Town
1700293,43,Rural
1700294,12,City
1700295,21,Suburban
1700297,21,Suburban
1700298,21,Suburban
1700299,12,City
1700304,13,City
1700305,32,Town
1700306,32,Town
1700307,41,Rural
1700308,21,Suburban
1700309,21,Suburban
1700310,41,Rural
1700311,42,Rural
1700312,21,Suburban
1700313,13,City
1700314,42,Rural
1700317,13,City
1700319,42,Rural
1700320,32,Town
1700321,42,Rural
1700322,42,Rural
1700323,42,Rural
1700324,42,Rural
1700325,23,Suburban
1700326,32,Town
1700327,31,Town
1700328,12,City
1700329,43,Rural
1700330,42,Rural
1700332,33,Town
1700333,31,Town
1701381,43,Rural
1701382,42,Rural
1701383,21,Suburban
1701384,33,Town
1701385,33,Town
1701387,43,Rural
1701388,42,Rural
1701389,21,Suburban
1701390,42,Rural
1701391,21,Suburban
1701392,21,Suburban
1701393,31,Town
1701394,21,Suburban
1701395,32,Town
1701396,21,Suburban
1701397,41,Rural
1701398,11,City
1701399,13,City
1701400,21,Suburban
1701403,31,Town
1701404,33,Town
1701408,32,Town
1701409,13,City
1701410,11,City
1701411,32,Town
1701412,11,City
1701413,33,Town
1701414,13,City
1701415,21,Suburban
1701416,42,Rural
1701417,42,Rural
1701418,23,Suburban
1701419,41,Rural
1701420,21,Suburban
1701421,42,Rural
1701422,42,Rural
1701423,21,Suburban
1701424,11,City
1701425,21,Suburban
1701426,11,City
1701427,21,Suburban
1701428,42,Rural
1701429,11,City
1701430,21,Suburban
1701431,11,City
1701432,32,Town
1701433,41,Rural
1701434,41,Rural
1701435,12,City
1703150,21,Suburban
1703210,42,Rural
1703270,42,Rural
1703300,42,Rural
1703420,42,Rural
1703450,42,Rural
1703480,21,Suburban
1703510,42,Rural
1703600,23,Suburban
1703660,42,Rural
1703690,42,Rural
1703750,32,Town
1703780,32,Town
1703810,42,Rural
1703840,21,Suburban
1703870,21,Suburban
1703900,21,Suburban
1703930,21,Suburban
1703960,32,Town
1703990,23,Suburban
1704020,21,Suburban
1704050,21,Suburban
1704140,13,City
1704170,21,Suburban
1704200,42,Rural
1704230,42,Rural
1704260,42,Rural
1704340,42,Rural
1704380,42,Rural
1704440,43,Rural
1704470,41,Rural
1704560,21,Suburban
1704620,31,Town
1704680,21,Suburban
1704710,21,Suburban
1704740,42,Rural
1704770,41,Rural
1704800,21,Suburban
1704920,22,Suburban
1704950,21,Suburban
1705050,21,Suburban
1705160,42,Rural
1705190,21,Suburban
1705220,21,Suburban
1705310,33,Town
1705430,31,Town
1705460,43,Rural
1705465,32,Town
1705466,32,Town
1705570,42,Rural
1705580,21,Suburban
1705610,21,Suburban
1705640,21,Suburban
1705760,21,Suburban
1705790,21,Suburban
1705820,42,Rural
1705880,21,Suburban
1705910,21,Suburban
1705950,41,Rural
1705970,32,Town
1706000,21,Suburban
1706060,21,Suburban
1706090,21,Suburban
1706120,23,Suburban
1706180,41,Rural
1706270,21,Suburban
1706390,41,Rural
1706420,21,Suburban
1706450,21,Suburban
1706480,13,City
1706510,21,Suburban
1706540,21,Suburban
1706600,43,Rural
1706750,23,Suburban
1706840,31,Town
1706880,42,Rural
1706930,23,Suburban
1706960,23,Suburban
1707010,32,Town
1707050,21,Suburban
1707170,21,Suburban
1707200,42,Rural
1707290,21,Suburban
1707320,21,Suburban
1707440,42,Rural
1707650,32,Town
1707740,42,Rural
1707770,42,Rural
1707830,41,Rural
1707860,21,Suburban
1707950,33,Town
1707980,21,Suburban
1708010,31,Town
1708040,21,Suburban
1708070,32,Town
1708100,21,Suburban
1708130,21,Suburban
1708160,42,Rural
1708220,43,Rural
1708250,42,Rural
1708280,32,Town
1708310,21,Suburban
1708340,13,City
1708370,13,City
1708400,21,Suburban
1708430,32,Town
1708460,32,Town
1708500,32,Town
1708550,21,Suburban
1708580,41,Rural
1708610,42,Rural
1708640,23,Suburban
1708730,21,Suburban
1708790,21,Suburban
1708970,21,Suburban
1709100,42,Rural
1709150,21,Suburban
1709170,21,Suburban
1709180,33,Town
1709210,21,Suburban
1709270,33,Town
1709300,33,Town
1709330,42,Rural
1709400,43,Rural
1709420,13,City
1709510,21,Suburban
1709540,21,Suburban
1709600,32,Town
1709720,42,Rural
1709810,32,Town
1709850,32,Town
1709930,11,City
1709960,21,Suburban
1709990,21,Suburban
1710200,21,Suburban
1710240,42,Rural
1710290,42,Rural
1710340,42,Rural
1710380,13,City
1710410,42,Rural
1710440,32,Town
1710470,21,Suburban
1710530,31,Town
1710570,42,Rural
1710650,21,Suburban
1710690,21,Suburban
1710740,21,Suburban
1710790,32,Town
1710800,41,Rural
1710820,23,Suburban
1710830,42,Rural
1710860,42,Rural
1710950,21,Suburban
1710980,42,Rural
1711010,21,Suburban
1711100,41,Rural
1711220,42,Rural
1711250,21,Suburban
1711290,21,Suburban
1711350,21,Suburban
1711370,21,Suburban
1711400,42,Rural
1711520,42,Rural
1711610,42,Rural
1711700,32,Town
1711730,42,Rural
1711790,13,City
1711850,13,City
1711880,31,Town
1711910,42,Rural
1711980,21,Suburban
1712000,23,Suburban
1712030,42,Rural
1712060,42,Rural
1712090,42,Rural
1712120,13,City
1712150,41,Rural
1712210,21,Suburban
1712240,42,Rural
1712270,41,Rural
1712330,32,Town
1712420,21,Suburban
1712450,21,Suburban
1712480,42,Rural
1712510,42,Rural
1712540,21,Suburban
1712570,21,Suburban
1712700,41,Rural
1712720,21,Suburban
1712760,32,Town
1712810,42,Rural
1712840,32,Town
1712870,32,Town
1712900,21,Suburban
1712930,42,Rural
1712960,23,Suburban
1712990,23,Suburban
1713050,41,Rural
1713140,21,Suburban
1713170,21,Suburban
1713230,21,Suburban
1713240,21,Suburban
1713260,13,City
1713290,33,Town
1713320,21,Suburban
1713370,42,Rural
1713410,42,Rural
1713440,21,Suburban
1713500,43,Rural
1713530,21,Suburban
1713560,33,Town
1713590,42,Rural
1713660,32,Town
1713710,21,Suburban
1713770,21,Suburban
1713860,42,Rural
1713920,31,Town
1713940,21,Suburban
1713970,21,Suburban
1714050,41,Rural
1714100,21,Suburban
1714160,41,Rural
1714220,21,Suburban
1714250,21,Suburban
1714350,42,Rural
1714410,42,Rural
1714430,31,Town
1714460,13,City
1714490,13,City
1714550,21,Suburban
1714580,21,Suburban
1714640,42,Rural
1714710,41,Rural
1714760,21,Suburban
1714820,13,City
1714940,42,Rural
1715030,21,Suburban
1715090,42,Rural
1715100,42,Rural
1715180,42,Rural
1715400,41,Rural
1715420,21,Suburban
1715450,21,Suburban
1715480,21,Suburban
1715490,42,Rural
1715630,21,Suburban
1715660,21,Suburban
1715700,21,Suburban
1715750,42,Rural
1715780,21,Suburban
1715820,21,Suburban
1715840,21,Suburban
1715880,42,Rural
1715900,32,Town
1715930,41,Rural
1716020,42,Rural
1716050,31,Town
1716080,32,Town
1716140,42,Rural
1716230,42,Rural
1716260,42,Rural
1716290,21,Suburban
1716320,42,Rural
1716350,31,Town
1716380,21,Suburban
1716410,31,Town
1716530,32,Town
1716560,21,Suburban
1716590,41,Rural
1716650,42,Rural
1716680,32,Town
1716800,21,Suburban
1716830,21,Suburban
1716860,21,Suburban
1716920,21,Suburban
1716950,21,Suburban
1717040,21,Suburban
1717160,21,Suburban
1717190,42,Rural
1717220,42,Rural
1717280,21,Suburban
1717310,21,Suburban
1717340,21,Suburban
1717370,42,Rural
1717490,41,Rural
1717520,21,Suburban
1717550,21,Suburban
1717580,42,Rural
1717670,42,Rural
1717700,42,Rural
1717730,32,Town
1717790,42,Rural
1717800,21,Suburban
1717850,21,Suburban
1718030,32,Town
1718060,33,Town
1718090,21,Suburban
1718180,42,Rural
1718200,43,Rural
1718240,21,Suburban
1718270,32,Town
1718360,41,Rural
1718390,42,Rural
1718420,32,Town
1718450,21,Suburban
1718480,21,Suburban
1718510,32,Town
1718570,21,Suburban
1718600,21,Suburban
1718810,23,Suburban
1718840,42,Rural
1718870,31,Town
1718960,21,Suburban
1718990,31,Town
1719080,21,Suburban
1719110,21,Suburban
1719200,32,Town
1719230,21,Suburban
1719260,42,Rural
1719290,21,Suburban
1719320,21,Suburban
1719420,41,Rural
1719500,21,Suburban
1719530,21,Suburban
1719560,21,Suburban
1719620,23,Suburban
1719660,32,Town
1719680,21,Suburban
1719830,21,Suburban
1719920,42,Rural
1719960,42,Rural
1719970,21,Suburban
1720170,41,Rural
1720180,32,Town
1720190,33,Town
1720220,21,Suburban
1720250,42,Rural
1720280,32,Town
1720370,41,Rural
1720380,33,Town
1720430,32,Town
1720490,21,Suburban
1720550,31,Town
1720580,21,Suburban
1720610,21,Suburban
1720640,32,Town
1720760,13,City
1720790,43,Rural
1720880,21,Suburban
1720910,42,Rural
1720970,21,Suburban
1721000,32,Town
1721030,21,Suburban
1721130,42,Rural
1721180,21,Suburban
1721270,21,Suburban
1721300,42,Rural
1721390,32,Town
1721420,21,Suburban
1721450,21,Suburban
1721510,41,Rural
1721590,21,Suburban
1721600,21,Suburban
1721630,21,Suburban
1721680,42,Rural
1721720,21,Suburban
1721750,21,Suburban
1721780,21,Suburban
1721840,21,Suburban
1721870,21,Suburban
1721900,21,Suburban
1722020,21,Suburban
1722050,21,Suburban
1722080,32,Town
1722110,32,Town
1722130,33,Town
1722150,41,Rural
1722300,21,Suburban
1722350,42,Rural
1722360,32,Town
1722500,21,Suburban
1722530,32,Town
1722620,32,Town
1722710,42,Rural
1722730,21,Suburban
1722740,21,Suburban
1722770,43,Rural
1722800,21,Suburban
1722830,21,Suburban
1722860,42,Rural
1722870,42,Rural
1722920,41,Rural
1722950,41,Rural
1722980,32,Town
1723050,32,Town
1723070,21,Suburban
1723090,21,Suburban
1723100,21,Suburban
1723160,42,Rural
1723200,21,Suburban
1723250,32,Town
1723340,21,Suburban
1723350,21,Suburban
1723460,21,Suburban
1723640,21,Suburban
1723700,42,Rural
1723730,21,Suburban
1723850,21,Suburban
1723880,21,Suburban
1723920,33,Town
1723970,21,Suburban
1723985,21,Suburban
1723990,21,Suburban
1724000,21,Suburban
1724060,31,Town
1724090,21,Suburban
1724120,42,Rural
1724270,21,Suburban
1724330,21,Suburban
1724390,23,Suburban
1724420,21,Suburban
1724480,41,Rural
1724570,31,Town
1724600,13,City
1724650,42,Rural
1724720,21,Suburban
1724750,42,Rural
1724780,21,Suburban
1724870,32,Town
1724900,42,Rural
1724940,31,Town
1725000,41,Rural
1725020,21,Suburban
1725050,32,Town
1725110,21,Suburban
1725190,42,Rural
1725260,41,Rural
1725290,21,Suburban
1725320,21,Suburban
1725500,21,Suburban
1725590,42,Rural
1725620,32,Town
1725650,41,Rural
1725680,43,Rural
1725690,31,Town
1725740,31,Town
1725770,31,Town
1725920,21,Suburban
1726100,41,Rural
1726180,33,Town
1726190,31,Town
1726250,42,Rural
1726310,21,Suburban
1726340,21,Suburban
1726370,21,Suburban
1726400,13,City
1726430,31,Town
1726490,21,Suburban
1726550,32,Town
1726590,42,Rural
1726610,31,Town
1726640,31,Town
1726710,32,Town
1726760,42,Rural
1726800,21,Suburban
1726820,21,Suburban
1726850,21,Suburban
1726880,21,Suburban
1726970,42,Rural
1727180,42,Rural
1727210,21,Suburban
1727290,42,Rural
1727300,33,Town
1727340,32,Town
1727360,41,Rural
1727390,23,Suburban
1727450,42,Rural
1727540,21,Suburban
1727570,21,Suburban
1727610,31,Town
1727710,12,City
1727720,32,Town
1727740,32,Town
1727780,42,Rural
1727840,42,Rural
1727930,42,Rural
1727960,42,Rural
1727990,42,Rural
1728110,42,Rural
1728140,21,Suburban
1728160,42,Rural
1728200,21,Suburban
1728260,42,Rural
1728270,42,Rural
1728500,21,Suburban
1728530,13,City
1728560,32,Town
1728620,22,Suburban
1728650,21,Suburban
1728700,41,Rural
1728810,42,Rural
1728890,21,Suburban
1728920,21,Suburban
1728980,21,Suburban
1729010,21,Suburban
1729020,21,Suburban
1729040,21,Suburban
1729100,21,Suburban
1729130,21,Suburban
1729190,21,Suburban
1729220,21,Suburban
1729250,21,Suburban
1729280,21,Suburban
1729310,42,Rural
1729340,42,Rural
1729420,42,Rural
1729520,42,Rural
1729670,32,Town
1729700,43,Rural
1729730,43,Rural
1729760,21,Suburban
1729790,21,Suburban
1729890,42,Rural
1729940,42,Rural
1730060,42,Rural
1730160,32,Town
1730200,42,Rural
1730220,21,Suburban
1730270,21,Suburban
1730300,32,Town
1730330,32,Town
1730420,21,Suburban
1730450,13,City
1730480,42,Rural
1730510,21,Suburban
1730540,42,Rural
1730570,21,Suburban
1730600,21,Suburban
1730630,32,Town
1730660,42,Rural
1730750,32,Town
1730780,32,Town
1730810,21,Suburban
1730840,21,Suburban
1730870,42,Rural
1730900,21,Suburban
1730930,31,Town
1730990,42,Rural
1731020,42,Rural
1731050,42,Rural
1731080,21,Suburban
1731110,21,Suburban
1731140,42,Rural
1731200,21,Suburban
1731230,12,City
1731270,21,Suburban
1731290,31,Town
1731310,42,Rural
